invoice_id,Branch,City,category, unit_price ,quantity,date,time,payment_method,rating,profit_margin, Revenue , Profit 
54,WALM045,Missouri City,Fashion accessories,$15.43 ,1,25/01/19,3:46:00 PM,Credit card,6.1,0.48,$15.43 ,$7.41 
55,WALM005,Fort Worth,Home and lifestyle,$16.16 ,2,7/3/2019,11:49:00 AM,Ewallet,6.5,0.48,$32.32 ,$15.51 
56,WALM042,Bryan,Electronic accessories,$85.98 ,8,28/02/19,7:01:00 PM,Cash,8.2,0.48,$687.84 ,$330.16 
57,WALM003,San Antonio,Home and lifestyle,$44.34 ,2,27/03/19,11:26:00 AM,Cash,5.8,0.36,$88.68 ,$31.92 
58,WALM070,Hurst,Health and beauty,$89.60 ,8,7/2/2019,11:28:00 AM,Ewallet,6.6,0.33,$716.80 ,$236.54 
59,WALM066,Grapevine,Home and lifestyle,$72.35 ,10,20/01/19,3:55:00 PM,Cash,5.4,0.33,$723.50 ,$238.76 
60,WALM031,Lewisville,Electronic accessories,$30.61 ,6,12/3/2019,8:36:00 PM,Cash,9.3,0.48,$183.66 ,$88.16 
61,WALM042,Bryan,Sports and travel,$24.74 ,3,15/02/19,5:47:00 PM,Credit card,10,0.48,$74.22 ,$35.63 
62,WALM078,Del Rio,Home and lifestyle,$55.73 ,6,24/02/19,10:55:00 AM,Ewallet,7,0.33,$334.38 ,$110.35 
63,WALM037,League City,Sports and travel,$55.07 ,9,3/2/2019,1:40:00 PM,Ewallet,10,0.48,$495.63 ,$237.90 
64,WALM069,Rockwall,Sports and travel,$15.81 ,10,6/3/2019,12:27:00 PM,Credit card,8.6,0.33,$158.10 ,$52.17 
65,WALM087,Waxahachie,Health and beauty,$75.74 ,4,14/02/19,2:35:00 PM,Cash,7.6,0.33,$302.96 ,$99.98 
66,WALM042,Bryan,Health and beauty,$15.87 ,10,13/03/19,4:40:00 PM,Cash,5.8,0.48,$158.70 ,$76.18 
67,WALM020,Killeen,Health and beauty,$33.47 ,2,10/2/2019,3:43:00 PM,Ewallet,6.7,0.48,$66.94 ,$32.13 
68,WALM029,Round Rock,Fashion accessories,$97.61 ,6,7/1/2019,3:01:00 PM,Ewallet,9.9,0.48,$585.66 ,$281.12 
69,WALM079,La Porte,Sports and travel,$78.77 ,10,24/01/19,10:04:00 AM,Cash,6.4,0.33,$787.70 ,$259.94 
70,WALM035,San Angelo,Health and beauty,$18.33 ,1,2/2/2019,6:50:00 PM,Cash,4.3,0.48,$18.33 ,$8.80 
71,WALM007,Arlington,Food and beverages,$89.48 ,10,6/1/2019,12:46:00 PM,Credit card,9.6,0.48,$894.80 ,$429.50 
72,WALM017,McKinney,Fashion accessories,$62.12 ,10,11/2/2019,4:19:00 PM,Cash,5.9,0.48,$621.20 ,$298.18 
73,WALM096,Eagle Pass,Food and beverages,$48.52 ,3,5/3/2019,6:17:00 PM,Ewallet,4,0.18,$145.56 ,$26.20 
74,WALM083,Farmers Branch,Electronic accessories,$75.91 ,6,9/3/2019,6:21:00 PM,Cash,8.7,0.33,$455.46 ,$150.30 
75,WALM072,Lancaster,Home and lifestyle,$74.67 ,9,22/01/19,10:55:00 AM,Ewallet,9.4,0.33,$672.03 ,$221.77 
76,WALM003,San Antonio,Electronic accessories,$41.65 ,10,13/01/19,5:04:00 PM,Credit card,5.4,0.48,$416.50 ,$199.92 
77,WALM058,Port Arthur,Fashion accessories,$49.04 ,9,9/1/2019,2:20:00 PM,Credit card,8.6,0.33,$441.36 ,$145.65 
78,WALM094,Alamo,Fashion accessories,$20.01 ,9,12/1/2019,3:48:00 PM,Credit card,5.7,0.33,$180.09 ,$59.43 
79,WALM063,Georgetown,Food and beverages,$78.31 ,10,5/3/2019,4:24:00 PM,Ewallet,6.6,0.33,$783.10 ,$258.42 
80,WALM071,Lufkin,Health and beauty,$20.38 ,5,22/01/19,6:56:00 PM,Cash,6,0.33,$101.90 ,$33.63 
81,WALM061,Cedar Park,Health and beauty,$99.19 ,6,21/01/19,2:42:00 PM,Credit card,5.5,0.33,$595.14 ,$196.40 
82,WALM090,Brownwood,Food and beverages,$96.68 ,3,26/01/19,7:56:00 PM,Ewallet,6.4,0.33,$290.04 ,$95.71 
83,WALM061,Cedar Park,Food and beverages,$19.25 ,8,23/01/19,6:37:00 PM,Ewallet,6.6,0.33,$154.00 ,$50.82 
84,WALM041,Mission,Food and beverages,$80.36 ,4,23/02/19,6:45:00 PM,Ewallet,8.3,0.48,$321.44 ,$154.29 
85,WALM097,Alice,Sports and travel,$48.91 ,5,9/3/2019,10:17:00 AM,Cash,6.6,0.18,$244.55 ,$44.02 
86,WALM043,Baytown,Sports and travel,$83.06 ,7,5/3/2019,2:31:00 PM,Ewallet,4,0.48,$581.42 ,$279.08 
87,WALM042,Bryan,Fashion accessories,$76.52 ,5,25/03/19,10:23:00 AM,Cash,9.9,0.48,$382.60 ,$183.65 
88,WALM046,Temple,Food and beverages,$49.38 ,7,27/03/19,8:35:00 PM,Credit card,7.3,0.48,$345.66 ,$165.92 
89,WALM011,Lubbock,Sports and travel,$42.47 ,1,2/1/2019,4:57:00 PM,Cash,5.7,0.48,$42.47 ,$20.39 
90,WALM064,Bedford,Health and beauty,$76.99 ,6,27/02/19,5:55:00 PM,Cash,6.1,0.33,$461.94 ,$152.44 
91,WALM095,Big Spring,Home and lifestyle,$47.38 ,4,23/01/19,10:25:00 AM,Cash,7.1,0.33,$189.52 ,$62.54 
92,WALM049,North Richland Hills,Sports and travel,$44.86 ,10,26/01/19,7:54:00 PM,Ewallet,8.2,0.48,$448.60 ,$215.33 
93,WALM040,Edinburg,Sports and travel,$21.98 ,7,10/1/2019,4:42:00 PM,Ewallet,5.1,0.48,$153.86 ,$73.85 
94,WALM065,Texas City,Health and beauty,$64.36 ,9,12/3/2019,12:09:00 PM,Credit card,8.6,0.33,$579.24 ,$191.15 
95,WALM075,San Marcos,Health and beauty,$89.75 ,1,6/2/2019,8:05:00 PM,Credit card,6.6,0.33,$89.75 ,$29.62 
96,WALM034,College Station,Electronic accessories,$97.16 ,1,8/3/2019,8:38:00 PM,Ewallet,7.2,0.48,$97.16 ,$46.64 
97,WALM014,Amarillo,Health and beauty,$87.87 ,10,29/03/19,10:25:00 AM,Ewallet,5.1,0.48,$878.70 ,$421.78 
98,WALM096,Eagle Pass,Electronic accessories,$12.45 ,6,9/2/2019,1:11:00 PM,Cash,4.1,0.18,$74.70 ,$13.45 
99,WALM004,Austin,Food and beverages,$52.75 ,3,23/03/19,10:16:00 AM,Ewallet,9.3,0.48,$158.25 ,$75.96 
100,WALM011,Lubbock,Home and lifestyle,$82.70 ,6,5/3/2019,6:14:00 PM,Cash,7.4,0.48,$496.20 ,$238.18 
101,WALM075,San Marcos,Fashion accessories,$48.71 ,1,26/03/19,7:20:00 PM,Cash,4.1,0.33,$48.71 ,$16.07 
102,WALM057,Euless,Fashion accessories,$78.55 ,9,1/3/2019,1:22:00 PM,Cash,7.2,0.33,$706.95 ,$233.29 
103,WALM023,Midland,Electronic accessories,$23.07 ,9,1/2/2019,11:27:00 AM,Cash,4.9,0.48,$207.63 ,$99.66 
104,WALM012,Garland,Food and beverages,$58.26 ,6,28/03/19,4:44:00 PM,Cash,9.9,0.48,$349.56 ,$167.79 
105,WALM078,Del Rio,Health and beauty,$30.35 ,7,19/03/19,6:19:00 PM,Cash,8,0.33,$212.45 ,$70.11 
106,WALM055,Waxahachie,Electronic accessories,$88.67 ,10,12/1/2019,2:50:00 PM,Ewallet,7.3,0.33,$886.70 ,$292.61 
107,WALM038,Sugar Land,Fashion accessories,$27.38 ,6,5/1/2019,8:54:00 PM,Credit card,7.9,0.48,$164.28 ,$78.85 
108,WALM049,North Richland Hills,Sports and travel,$62.13 ,6,22/03/19,8:19:00 PM,Cash,7.4,0.48,$372.78 ,$178.93 
109,WALM044,Pharr,Food and beverages,$33.98 ,9,24/03/19,10:43:00 AM,Cash,4.2,0.48,$305.82 ,$146.79 
110,WALM056,Rowlett,Electronic accessories,$81.97 ,10,3/3/2019,2:30:00 PM,Cash,9.2,0.33,$819.70 ,$270.50 
111,WALM007,Arlington,Sports and travel,$16.49 ,2,5/2/2019,11:32:00 AM,Ewallet,4.6,0.48,$32.98 ,$15.83 
112,WALM025,Waco,Health and beauty,$98.21 ,3,5/2/2019,10:41:00 AM,Credit card,7.8,0.48,$294.63 ,$141.42 
113,WALM005,Fort Worth,Fashion accessories,$72.84 ,7,15/02/19,12:44:00 PM,Cash,8.4,0.48,$509.88 ,$244.74 
114,WALM024,Carrollton,Home and lifestyle,$58.07 ,9,19/01/19,8:07:00 PM,Ewallet,4.3,0.48,$522.63 ,$250.86 
115,WALM003,San Antonio,Home and lifestyle,$80.79 ,9,1/2/2019,8:31:00 PM,Credit card,9.5,0.36,$727.11 ,$261.76 
116,WALM087,Waxahachie,Fashion accessories,$27.02 ,3,2/3/2019,1:01:00 PM,Credit card,7.1,0.33,$81.06 ,$26.75 
117,WALM040,Edinburg,Fashion accessories,$21.94 ,5,5/3/2019,12:29:00 PM,Ewallet,5.3,0.48,$109.70 ,$52.66 
118,WALM071,Lufkin,Fashion accessories,$51.36 ,1,16/01/19,3:26:00 PM,Ewallet,5.2,0.33,$51.36 ,$16.95 
119,WALM027,Abilene,Food and beverages,$10.96 ,10,2/2/2019,8:48:00 PM,Ewallet,6,0.48,$109.60 ,$52.61 
120,WALM071,Lufkin,Home and lifestyle,$53.44 ,2,20/01/19,8:38:00 PM,Ewallet,4.1,0.33,$106.88 ,$35.27 
121,WALM014,Amarillo,Electronic accessories,$99.56 ,8,14/02/19,5:03:00 PM,Credit card,5.2,0.48,$796.48 ,$382.31 
122,WALM069,Rockwall,Sports and travel,$57.12 ,7,12/1/2019,12:02:00 PM,Credit card,6.5,0.33,$399.84 ,$131.95 
123,WALM085,Kerrville,Sports and travel,$99.96 ,9,9/3/2019,5:26:00 PM,Credit card,4.2,0.33,$899.64 ,$296.88 
124,WALM061,Cedar Park,Home and lifestyle,$63.91 ,8,13/03/19,7:52:00 PM,Credit card,4.6,0.33,$511.28 ,$168.72 
125,WALM088,Cleburne,Fashion accessories,$56.47 ,8,9/3/2019,2:57:00 PM,Ewallet,7.3,0.33,$451.76 ,$149.08 
126,WALM034,College Station,Home and lifestyle,$93.69 ,7,10/3/2019,6:44:00 PM,Credit card,4.5,0.48,$655.83 ,$314.80 
127,WALM016,Brownsville,Sports and travel,$32.25 ,5,27/01/19,1:26:00 PM,Cash,9,0.48,$161.25 ,$77.40 
128,WALM044,Pharr,Fashion accessories,$31.73 ,9,8/1/2019,4:17:00 PM,Credit card,5.9,0.48,$285.57 ,$137.07 
129,WALM035,San Angelo,Food and beverages,$68.54 ,8,8/1/2019,3:57:00 PM,Ewallet,8.5,0.48,$548.32 ,$263.19 
130,WALM018,Frisco,Sports and travel,$90.28 ,9,8/2/2019,11:15:00 AM,Ewallet,7.2,0.48,$812.52 ,$390.01 
131,WALM022,Mesquite,Fashion accessories,$39.62 ,7,25/01/19,1:18:00 PM,Cash,7.5,0.48,$277.34 ,$133.12 
132,WALM068,Burleson,Sports and travel,$92.13 ,6,6/3/2019,8:34:00 PM,Cash,8.3,0.33,$552.78 ,$182.42 
133,WALM055,Waxahachie,Sports and travel,$34.84 ,4,10/2/2019,6:36:00 PM,Cash,7.4,0.33,$139.36 ,$45.99 
134,WALM002,Dallas,Electronic accessories,$87.45 ,6,17/02/19,2:40:00 PM,Credit card,8.8,0.36,$524.70 ,$188.89 
135,WALM062,Galveston,Health and beauty,$81.30 ,6,8/3/2019,4:43:00 PM,Ewallet,5.3,0.33,$487.80 ,$160.97 
136,WALM098,Mineral Wells,Fashion accessories,$90.22 ,3,18/02/19,7:39:00 PM,Cash,6.2,0.18,$270.66 ,$48.72 
137,WALM027,Abilene,Electronic accessories,$26.31 ,5,18/01/19,8:59:00 PM,Credit card,8.8,0.48,$131.55 ,$63.14 
138,WALM093,Angleton,Home and lifestyle,$34.42 ,6,18/02/19,3:39:00 PM,Cash,9.8,0.33,$206.52 ,$68.15 
139,WALM029,Round Rock,Sports and travel,$51.91 ,10,16/02/19,12:21:00 PM,Cash,8.2,0.48,$519.10 ,$249.17 
140,WALM016,Brownsville,Sports and travel,$72.50 ,8,16/03/19,7:25:00 PM,Ewallet,9.2,0.48,$580.00 ,$278.40 
141,WALM023,Midland,Sports and travel,$89.80 ,10,23/01/19,1:00:00 PM,Credit card,5.4,0.48,$898.00 ,$431.04 
142,WALM012,Garland,Health and beauty,$90.50 ,10,25/01/19,1:48:00 PM,Cash,8.1,0.48,$905.00 ,$434.40 
143,WALM052,Mansfield,Health and beauty,$68.60 ,10,5/2/2019,7:57:00 PM,Cash,9.1,0.57,$686.00 ,$391.02 
144,WALM097,Alice,Food and beverages,$30.41 ,1,22/02/19,10:36:00 AM,Credit card,8.4,0.18,$30.41 ,$5.47 
145,WALM045,Missouri City,Home and lifestyle,$77.95 ,6,21/01/19,4:37:00 PM,Credit card,8,0.48,$467.70 ,$224.50 
146,WALM047,Flower Mound,Health and beauty,$46.26 ,6,8/3/2019,5:11:00 PM,Credit card,9.5,0.48,$277.56 ,$133.23 
147,WALM026,Denton,Fashion accessories,$30.14 ,10,10/2/2019,12:28:00 PM,Ewallet,9.2,0.48,$301.40 ,$144.67 
148,WALM054,Sherman,Health and beauty,$66.14 ,4,19/03/19,12:46:00 PM,Credit card,5.6,0.21,$264.56 ,$55.56 
149,WALM049,North Richland Hills,Home and lifestyle,$71.86 ,8,6/3/2019,3:07:00 PM,Credit card,6.2,0.48,$574.88 ,$275.94 
150,WALM065,Texas City,Health and beauty,$32.46 ,8,27/03/19,1:48:00 PM,Credit card,4.9,0.33,$259.68 ,$85.69 
151,WALM016,Brownsville,Fashion accessories,$91.54 ,4,23/03/19,7:20:00 PM,Credit card,4.8,0.48,$366.16 ,$175.76 
152,WALM070,Hurst,Sports and travel,$34.56 ,7,11/3/2019,4:07:00 PM,Credit card,7.3,0.33,$241.92 ,$79.83 
153,WALM099,Weatherford,Fashion accessories,$83.24 ,9,29/01/19,11:56:00 AM,Credit card,7.4,0.18,$749.16 ,$134.85 
154,WALM071,Lufkin,Food and beverages,$16.48 ,6,7/2/2019,6:23:00 PM,Ewallet,9.9,0.33,$98.88 ,$32.63 
155,WALM078,Del Rio,Sports and travel,$80.97 ,8,28/01/19,1:05:00 PM,Cash,9.3,0.33,$647.76 ,$213.76 
156,WALM074,Weslaco,Food and beverages,$92.29 ,5,20/02/19,3:55:00 PM,Cash,9,0.33,$461.45 ,$152.28 
157,WALM042,Bryan,Electronic accessories,$72.17 ,1,4/1/2019,7:40:00 PM,Cash,6.1,0.48,$72.17 ,$34.64 
158,WALM013,Irving,Home and lifestyle,$50.28 ,5,7/3/2019,1:58:00 PM,Ewallet,9.7,0.48,$251.40 ,$120.67 
159,WALM100,Canyon,Health and beauty,$97.22 ,9,30/03/19,2:43:00 PM,Ewallet,6,0.18,$874.98 ,$157.50 
160,WALM094,Alamo,Sports and travel,$93.39 ,6,27/03/19,7:18:00 PM,Ewallet,10,0.33,$560.34 ,$184.91 
161,WALM028,Odessa,Food and beverages,$43.18 ,8,19/01/19,7:39:00 PM,Credit card,8.3,0.48,$345.44 ,$165.81 
162,WALM019,Pasadena,Sports and travel,$63.69 ,1,25/02/19,4:21:00 PM,Cash,6,0.48,$63.69 ,$30.57 
163,WALM011,Lubbock,Food and beverages,$45.79 ,7,13/03/19,7:44:00 PM,Credit card,7,0.48,$320.53 ,$153.85 
164,WALM084,Schertz,Sports and travel,$76.40 ,2,30/01/19,7:42:00 PM,Ewallet,6.5,0.33,$152.80 ,$50.42 
165,WALM057,Euless,Food and beverages,$39.90 ,10,20/02/19,3:24:00 PM,Credit card,5.9,0.33,$399.00 ,$131.67 
166,WALM088,Cleburne,Health and beauty,$42.57 ,8,25/02/19,2:12:00 PM,Ewallet,5.6,0.33,$340.56 ,$112.38 
167,WALM061,Cedar Park,Home and lifestyle,$95.58 ,10,16/01/19,1:32:00 PM,Cash,4.8,0.33,$955.80 ,$315.41 
168,WALM040,Edinburg,Fashion accessories,$98.98 ,10,8/2/2019,4:20:00 PM,Credit card,8.7,0.48,$989.80 ,$475.10 
169,WALM069,Rockwall,Food and beverages,$51.28 ,6,19/01/19,4:31:00 PM,Cash,6.5,0.33,$307.68 ,$101.53 
170,WALM089,Southlake,Sports and travel,$69.52 ,7,1/2/2019,3:10:00 PM,Credit card,8.5,0.33,$486.64 ,$160.59 
171,WALM031,Lewisville,Health and beauty,$70.01 ,5,3/1/2019,11:36:00 AM,Ewallet,5.5,0.48,$350.05 ,$168.02 
172,WALM039,Longview,Food and beverages,$80.05 ,5,26/01/19,12:45:00 PM,Credit card,9.4,0.48,$400.25 ,$192.12 
173,WALM039,Longview,Electronic accessories,$20.85 ,8,3/3/2019,7:17:00 PM,Cash,6.3,0.48,$166.80 ,$80.06 
174,WALM047,Flower Mound,Electronic accessories,$52.89 ,6,19/01/19,5:34:00 PM,Credit card,9.8,0.48,$317.34 ,$152.32 
175,WALM071,Lufkin,Food and beverages,$19.79 ,8,18/01/19,12:04:00 PM,Ewallet,8.7,0.33,$158.32 ,$52.25 
176,WALM060,DeSoto,Home and lifestyle,$33.84 ,9,21/03/19,4:21:00 PM,Ewallet,8.8,0.33,$304.56 ,$100.50 
177,WALM073,Seguin,Food and beverages,$22.17 ,8,3/3/2019,5:01:00 PM,Credit card,9.6,0.33,$177.36 ,$58.53 
178,WALM059,Pflugerville,Fashion accessories,$22.51 ,7,13/02/19,10:50:00 AM,Credit card,4.8,0.33,$157.57 ,$52.00 
179,WALM012,Garland,Food and beverages,$73.88 ,6,23/03/19,7:16:00 PM,Ewallet,4.4,0.48,$443.28 ,$212.77 
180,WALM086,Rosenberg,Health and beauty,$86.80 ,3,28/01/19,4:47:00 PM,Ewallet,9.9,0.33,$260.40 ,$85.93 
181,WALM073,Seguin,Fashion accessories,$64.26 ,7,9/2/2019,10:00:00 AM,Cash,5.7,0.33,$449.82 ,$148.44 
182,WALM028,Odessa,Food and beverages,$38.47 ,8,23/01/19,11:51:00 AM,Cash,7.7,0.48,$307.76 ,$147.72 
183,WALM053,Conroe,Sports and travel,$15.50 ,10,23/03/19,10:55:00 AM,Ewallet,8,0.57,$155.00 ,$88.35 
184,WALM024,Carrollton,Health and beauty,$34.31 ,8,25/01/19,3:00:00 PM,Ewallet,5.7,0.48,$274.48 ,$131.75 
185,WALM097,Alice,Sports and travel,$12.34 ,7,4/3/2019,11:19:00 AM,Credit card,6.7,0.18,$86.38 ,$15.55 
186,WALM072,Lancaster,Food and beverages,$18.08 ,3,5/3/2019,7:46:00 PM,Ewallet,8,0.33,$54.24 ,$17.90 
187,WALM023,Midland,Home and lifestyle,$94.49 ,8,3/3/2019,7:00:00 PM,Ewallet,7.5,0.48,$755.92 ,$362.84 
188,WALM038,Sugar Land,Home and lifestyle,$46.47 ,4,8/2/2019,10:53:00 AM,Cash,7,0.48,$185.88 ,$89.22 
189,WALM078,Del Rio,Home and lifestyle,$74.07 ,1,10/2/2019,12:50:00 PM,Ewallet,9.9,0.33,$74.07 ,$24.44 
190,WALM084,Schertz,Home and lifestyle,$69.81 ,4,28/01/19,8:50:00 PM,Credit card,5.9,0.33,$279.24 ,$92.15 
191,WALM059,Pflugerville,Home and lifestyle,$77.04 ,3,11/2/2019,10:39:00 AM,Credit card,7.2,0.33,$231.12 ,$76.27 
192,WALM062,Galveston,Fashion accessories,$73.52 ,2,15/01/19,1:41:00 PM,Ewallet,4.6,0.33,$147.04 ,$48.52 
193,WALM090,Brownwood,Food and beverages,$87.80 ,9,16/03/19,7:08:00 PM,Cash,9.2,0.33,$790.20 ,$260.77 
194,WALM015,Grand Prairie,Home and lifestyle,$25.55 ,4,26/01/19,8:23:00 PM,Ewallet,5.7,0.48,$102.20 ,$49.06 
195,WALM003,San Antonio,Electronic accessories,$32.71 ,5,19/03/19,11:30:00 AM,Credit card,9.9,0.48,$163.55 ,$78.50 
196,WALM066,Grapevine,Fashion accessories,$74.29 ,1,13/01/19,7:30:00 PM,Cash,5,0.33,$74.29 ,$24.52 
197,WALM079,La Porte,Health and beauty,$43.70 ,2,26/03/19,6:03:00 PM,Cash,4.9,0.33,$87.40 ,$28.84 
